Total topic alpha value
Total topic size
Topic 1 in each publisher ['wearing', 'wear', 'fashion', 'dress']
Topic 2 in each publisher ['people', 'don', 'lot', 'things']
Topic 3 in each publisher ['students', 'campus', 'university', 'student']
Topic 4 in each publisher ['631', 'org', 'center', 'street']
Topic 5 in each publisher ['european', 'europe', 'french', 'france']
Topic 6 in each publisher ['test', 'testing', 'tests', 'lab']
Topic 7 in each publisher ['time', 'work', 'long', 'lot']
Topic 8 in each publisher ['questions', 'question', 'answer', 'asked']
Topic 9 in each publisher ['safety', 'security', 'safe', 'emergency']
Topic 10 in each publisher ['union', 'contract', 'workers', 'university']
Topic 11 in each publisher ['science', 'scientists', 'scientific', 'physics']
Topic 12 in each publisher ['trip', 'nyu', 'mountain', 'climbing']
Topic 13 in each publisher ['stanford', 'miller', 'daily', 'university']
Topic 14 in each publisher ['africa', 'world', 'countries', 'south']
Topic 15 in each publisher ['court', 'supreme', 'law', 'case']
Topic 16 in each publisher ['jobs', 'workers', 'job', 'work']
Topic 17 in each publisher ['asked', 'told', 'interview', 'didn']
Topic 18 in each publisher ['asu', 'arizona', 'phoenix', 'greene']
Topic 19 in each publisher ['world', 'man', 'life', 'long']
Topic 20 in each publisher ['fact', 'problem', 'simply', 'science']
Topic 21 in each publisher ['academy', 'year', 'awards', 'oscar']
Topic 22 in each publisher ['article', 'version', 'story', 'appeared']
Topic 23 in each publisher ['ucla', 'student', 'year', 'students']
Topic 24 in each publisher ['years', 'time', 'ago', 'past']
Topic 25 in each publisher ['2018', '2016', '2017', 'auburn']
Topic 26 in each publisher ['senate', 'meeting', 'resolution', 'committee']
Topic 27 in each publisher ['flight', 'plane', 'air', 'flying']
Topic 28 in each publisher ['report', 'officials', 'government', 'agency']
Topic 29 in each publisher ['editor', 'times', 'news', 'article']
Topic 30 in each publisher ['students', 'year', 'college', 'freshman']
Topic 31 in each publisher ['plan', 'committee', 'force', 'report']
Topic 32 in each publisher ['food', 'farm', 'agriculture', 'meat']
Topic 33 in each publisher ['jackson', 'murphy', 'wiki__middle_tennessee_state_university__belbbz', 'tennessee']
Topic 34 in each publisher ['president', 'obama', 'bush', 'administration']
Topic 35 in each publisher ['disease', 'vaccine', 'virus', 'people']
Topic 36 in each publisher ['park', 'jones', 'tour', 'robinson']
Topic 37 in each publisher ['small', 'wall', 'paper', 'inside']
Topic 38 in each publisher ['book', 'author', 'books', 'life']
Topic 39 in each publisher ['law', 'state', 'states', 'government']
Topic 40 in each publisher ['military', 'army', 'veterans', 'war']
Topic 41 in each publisher ['medical', 'school', 'medicine', 'pre']
Topic 42 in each publisher ['china', 'chinese', 'beijing', 'u_s']
Topic 43 in each publisher ['virginia', 'west', 'wiki__university_of_new_mexico__fofslo', 'richmond']
Topic 44 in each publisher ['center', 'director', 'campus', 'student']
Topic 45 in each publisher ['women', 'men', 'female', 'male']
Topic 46 in each publisher ['moore', 'acu', 'morris', 'major']
Topic 47 in each publisher ['kentucky', 'wiki__southern_illinois_university_edwardsville__izqbfll', 'illinois', 'riley']
Topic 48 in each publisher ['cornell', 'sun', 'prof', 'ithaca']
Topic 49 in each publisher ['weather', 'ice', 'cold', 'snow']
Topic 50 in each publisher ['fairfield', 'roberts', 'snyder', 'walsh']
Topic 51 in each publisher ['students', 'online', 'class', 'classes']
Topic 52 in each publisher ['000', 'million', 'year', 'cost']
Topic 53 in each publisher ['people', 'lot', 'great', 'things']
Topic 54 in each publisher ['future', 'years', 'hope', 'dream']
Topic 55 in each publisher ['money', 'campaign', 'million', 'fund']
Topic 56 in each publisher ['company', 'business', 'companies', 'executive']
Topic 57 in each publisher ['board', 'meeting', 'university', 'trustees']
Topic 58 in each publisher ['college', 'marquette', 'arts', 'sciences']
Topic 59 in each publisher ['video', 'videos', 'wiki__youtube__eszflbb', 'watch']
Topic 60 in each publisher ['religious', 'religion', 'god', 'church']
Topic 61 in each publisher ['didn', 'time', 'thought', 'don']
Topic 62 in each publisher ['cal', 'poly', 'csu', 'armstrong']
Topic 63 in each publisher ['years', 'ago', 'anderson', 'year']
Topic 64 in each publisher ['pitt', 'wiki__carnegie_mellon_university__faoqe', 'pittsburgh', 'allen']
