-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
0	0	4765	6470	9960	46210	40689	66012	79065	83440	107040	66861	67571	69786	67901	53777	59699	100075	107428
0.00842	8554	4	29	113	2255	708	1188	592	367	331	354	261	345	708	231	161	563	344
0.00553	6109	0	546	55	236	239	1352	896	361	456	155	169	93	237	240	222	452	400
0.00564	2819	0	0	5	55	90	28	73	298	29	249	194	174	134	233	71	999	187
0.02014	778	5	1	2	11	15	33	27	54	77	53	31	73	53	111	64	103	65
0.00251	3764	1	0	9	55	20	32	46	484	280	630	213	169	220	99	452	783	271
0.00354	2468	14	8	26	77	144	190	76	156	157	223	216	213	318	207	76	200	167
0.01124	1741	0	0	239	48	29	76	162	75	61	61	128	89	77	166	56	281	193
0.00686	4947	0	21	1145	309	98	185	179	153	173	176	343	197	371	242	196	691	468
0.01273	1045	0	1	1	31	5	20	44	68	160	131	90	89	64	82	62	145	52
0.01289	1195	0	3	9	13	67	45	91	34	47	80	71	111	181	93	173	108	69
0.00726	10616	0	90	13	166	466	523	1706	1558	2941	699	406	236	392	170	620	279	351
0.01136	3415	34	106	35	492	133	44	136	190	157	299	170	203	138	186	414	191	487
0.02291	1668	0	25	7	285	130	118	73	129	233	42	40	72	88	88	44	172	122
0.01516	573	0	4	0	13	1	30	29	14	62	29	64	35	41	47	59	120	25
0.01175	2070	0	0	41	22	12	236	57	135	54	76	53	101	159	232	338	440	114
0.00875	10061	15	1	46	76	1413	124	1195	298	662	563	1195	472	1555	892	327	693	534
0.0095	2047	0	1	18	90	93	104	152	118	143	98	159	60	263	118	136	253	241
0.00918	6694	38	87	11	110	106	430	1212	445	257	267	271	828	480	608	248	609	687
0.01618	6409	286	96	27	65	201	390	881	717	1954	429	268	175	274	92	112	318	124
0.00579	2793	0	0	17	100	61	155	136	170	186	109	209	103	249	262	227	273	536
0.01219	3278	20	280	37	297	186	550	182	153	170	96	149	390	165	243	75	148	137
0.00416	9732	0	4	15	141	122	1335	186	872	583	540	713	646	658	1251	1124	686	856
0.00709	11640	0	4	5	17	11	202	112	499	740	414	540	620	184	371	1044	1303	5574
0.00817	1649	1	1	2	20	7	19	103	305	446	114	114	125	75	47	74	97	99
0.00984	1835	4	8	25	5	45	107	54	84	219	28	197	92	205	98	94	358	212
0.00467	3222	0	6	0	28	16	43	91	69	330	133	110	104	141	171	499	587	894
0.0126	765	0	0	1	82	11	7	0	19	86	68	20	48	41	38	79	185	80
0.0102	2297	0	4	11	162	65	319	106	353	132	65	135	159	183	124	90	251	138
0.00859	3151	3	22	194	271	1012	127	185	226	408	283	84	144	55	19	21	56	41
0.00649	918	2	6	6	33	8	123	41	82	122	105	50	66	50	27	51	78	68
0.01058	2802	10	13	9	150	439	158	324	281	341	164	199	135	66	63	73	285	92
0.01195	5742	10	23	58	271	334	724	889	896	341	511	344	95	150	186	104	283	523
0.00991	2723	0	7	0	3	20	48	204	459	195	115	190	160	298	191	175	503	155
0.00789	689	36	1	0	93	10	14	1	51	44	50	78	29	31	12	47	91	101
0.00436	1241	0	2	0	35	35	67	128	102	73	59	33	93	129	99	22	202	162
0.00532	4373	1	3	0	51	313	224	847	858	426	157	208	158	231	263	226	199	208
0.01467	1750	5	1	3	95	115	45	59	143	63	67	61	130	382	199	115	170	97
0.01552	3850	65	2	28	295	26	247	201	717	563	252	113	84	408	91	77	138	543
0.04267	6621	48	17	52	132	138	219	299	483	689	384	590	663	834	864	228	480	501
0.00676	1235	0	0	6	17	10	35	599	28	51	33	34	100	41	30	17	178	56
0.03857	2491	4	16	35	70	236	252	370	133	479	188	105	111	70	68	106	191	57
0.00128	1666	0	6	7	10	6	23	63	20	107	334	273	212	195	44	59	172	135
0.02891	372	55	1	1	17	8	3	9	17	32	17	28	23	26	45	18	45	27
0.01687	4392	0	0	18	193	107	516	383	846	420	142	170	220	190	205	131	258	593
0.00878	10837	184	9	8	110	191	416	227	375	308	375	6577	1038	121	194	244	246	214
0.00672	6059	31	1	6	53	149	1396	868	494	392	194	211	238	452	167	301	448	658
0.01096	5690	5	10	14	181	37	107	247	712	1271	1413	491	343	149	128	232	219	131
0.01195	6882	7	12	27	115	114	1926	424	427	538	278	128	191	226	263	409	551	1246
0.00183	1382	0	5	3	102	29	28	166	149	88	27	92	161	82	86	16	262	86
