Time
Number of Links in Time Range
Topic 1 ['died', 'washington', 'daughter']
Topic 2 ['irish', 'nebraska', 'university']
Topic 3 ['alaska', 'anchorage', 'org']
Topic 4 ['told', 'day', 'time']
Topic 5 ['israel', 'israeli', 'palestinian']
Topic 6 ['studies', 'education', 'wiki__latin_honors__fqeqqz']
Topic 7 ['school', 'schools', 'students']
Topic 8 ['free', 'annapolis', 'maryland']
Topic 9 ['$', '7', '8']
Topic 10 ['building', 'new', 'campus']
Topic 11 ['poetry', 'poet', 'poems']
Topic 12 ['international', 'world', 'countries']
Topic 13 ['family', 'years', 'father']
Topic 14 ['time', 'year', 'week']
Topic 15 ['library', 'information', 'center']
Topic 16 ['birmingham', 'alabama', 'south']
Topic 17 ['tour', 'trip', 'travel']
Topic 18 ['age', 'survived', 'grandchildren']
Topic 19 ['art', 'artists', 'artist']
Topic 20 ['commission', 'public', 'office']
Topic 21 ['church', 'wiki__united_methodist_church__ezeof', 'sunday']
Topic 22 ['saturday', 'author', 'chicago']
Topic 23 ['news', 'media', 'editor']
Topic 24 ['workers', 'work', 'jobs']
Topic 25 ['students', 'campus', 'student']
Topic 26 ['today', 'chairman', 'mr']
Topic 27 ['know', 'question', 'people']
Topic 28 ['police', 'man', 'officers']
Topic 29 ['century', '20th', '19th']
Topic 30 ['language', 'english', 'spanish']
Topic 31 ['reading', 'writing', 'read']
Topic 32 ['years', 'born', 'school']
Topic 33 ['tickets', 'cost', 'features']
Topic 34 ['science', 'humanities', 'wiki__humanities__seiez']
Topic 35 ['student', 'students', 'president']
Topic 36 ['college', 'university', 'graduates']
Topic 37 ['conference', 'event', 'discussion']
Topic 38 ['award', 'awards', 'received']
Topic 39 ['michael', 'david', 'john']
Topic 40 ['students', 'test', 'school']
Topic 41 ['life', 'story', 'man']
Topic 42 ['panel', 'saturday', 'sunday']
Topic 43 ['people', 'issues', 'community']
Topic 44 ['president', 'board', 'director']
Topic 45 ['wiki__martin_luther_king__jr___zoolb', 'rights', 'civil']
Topic 46 ['oklahoma', 'oregon', 'portland']
Topic 47 ['war', 'world', 'ii']
Topic 48 ['san', 'california', 'francisco']
Topic 49 ['ps', 'bird', 'birds']
Topic 50 ['women', 'men', 'female']
Topic 51 ['social', 'point', 'fact']
Topic 52 ['online', 'digital', 'internet']
Topic 53 ['study', 'research', 'report']
Topic 54 ['rose', 'charlie', 'it`s']
Topic 55 ['free', 'festival', 'saturday']
Topic 56 ['white', 'race', 'black']
Topic 57 ['children', 'parents', 'child']
Topic 58 ['de', 'mexico', 'la']
Topic 59 ['french', 'german', 'germany']
Topic 60 ['glass', 'art', 'wood']
Topic 61 ['funeral', 'grandchildren', 'church']
Topic 62 ['smith', 'lewis', 'clark']
Topic 63 ['program', 'young', 'school']
Topic 64 ['faculty', 'president', 'university']
Topic 65 ['saturdays', 'sundays', 'org']
Topic 66 ['people', 'know', 'lot']
Topic 67 ['religious', 'religion', 'god']
Topic 68 ['stanford', 'support', 'daily']
Topic 69 ['hs', 'high', 'school']
Topic 70 ['books', 'book', 'library']
Topic 71 ['book', 'published', 'editor']
Topic 72 ['africa', 'african', 'west']
Topic 73 ['years', 'year', 'time']
Topic 74 ['know', 'people', 'lot']
Topic 75 ['humanities', 'wiki__national_endowment_for_the_humanities__lezbiz', 'library']
Topic 76 ['camp', 'ages', 'june']
Topic 77 ['research', 'grant', 'program']
Topic 78 ['block', 'road', 'residential']
Topic 79 ['jones', 'ship', 'boat']
Topic 80 ['government', 'federal', 'support']
Topic 81 ['wife', 'survived', 'funeral']
Topic 82 ['family', 'life', 'friends']
Topic 83 ['iowa', 'wisconsin', 'madison']
Topic 84 ['kentucky', 'delaware', 'lexington']
Topic 85 ['medical', 'health', 'care']
Topic 86 ['comic', 'comics', 'wolfe']
Topic 87 ['band', 'www', 'rock']
Topic 88 ['mr', 'rep', 'sen']
Topic 89 ['computer', 'technology', 'computers']
Topic 90 ['library', 'collection', 'books']
Topic 91 ['book', 'author', 'books']
Topic 92 ['dallas', 'www', 'org']
Topic 93 ['school', 'favorite', 'high']
Topic 94 ['india', 'japanese', 'japan']
Topic 95 ['city', 'project', 'construction']
Topic 96 ['city', 'council', 'town']
Topic 97 ['arts', 'nea', 'endowment']
Topic 98 ['trump', 'people', 'left']
Topic 99 ['china', 'chinese', 'hong']
Topic 100 ['dayton', 'tennessee', 'info']
Topic 101 ['taylor', 'hawaii', 'robinson']
Topic 102 ['university', 'harvard', 'degree']
Topic 103 ['theater', 'play', 'theatre']
Topic 104 ['science', 'human', 'scientific']
Topic 105 ['school', 'high', 'illinois']
Topic 106 ['animals', 'animal', 'dog']
Topic 107 ['history', 'historical', 'historic']
Topic 108 ['hair', 'black', 'wear']
Topic 109 ['sexual', 'gay', 'sex']
Topic 110 ['energy', 'environmental', 'climate']
Topic 111 ['law', 'legal', 'lawyers']
Topic 112 ['rbi', '2', '3']
Topic 113 ['orleans', 'new', 'louisiana']
Topic 114 ['wiki__professor__iblaoo', 'professor', 'university']
Topic 115 ['word', 'words', 'language']
Topic 116 ['history', 'war', 'civil']
Topic 117 ['faculty', 'students', 'graduate']
Topic 118 ['weather', 'snow', 'winter']
Topic 119 ['school', 'team', 'award']
Topic 120 ['carolina', 'north', 'charlotte']
Topic 121 ['survived', 'passed', 'family']
Topic 122 ['st', 'grandchildren', 'survived']
Topic 123 ['school', 'students', 'teachers']
Topic 124 ['food', 'water', 'farm']
Topic 125 ['actor', 'tv', 'movie']
Topic 126 ['million', 'billion', 'federal']
Topic 127 ['dance', 'chicago', 'wiki__ballet__fqlee']
Topic 128 ['know', 'flatow', 'talk']
Topic 129 ['years', 'time', 'new']
Topic 130 ['research', 'contact', 'applications']
Topic 131 ['people', 'know', 'country']
Topic 132 ['book', 'novel', 'life']
Topic 133 ['college', 'students', 'degree']
Topic 134 ['students', 'college', 'school']
Topic 135 ['year', 'business', 'growth']
Topic 136 ['car', 'road', 'cars']
Topic 137 ['gallery', 'art', 'hours']
Topic 138 ['time', 'little', 'day']
Topic 139 ['www', 'org', 'mail']
Topic 140 ['research', 'science', 'scientists']
Topic 141 ['lecture', 'free', 'series']
Topic 142 ['dean', 'president', 'university']
Topic 143 ['court', 'case', 'judge']
Topic 144 ['services', 'program', 'center']
Topic 145 ['health', 'cancer', 'disease']
Topic 146 ['drug', 'prison', 'drugs']
Topic 147 ['percent', 'year', 'number']
Topic 148 ['suny', 'indiana', 'poly']
Topic 149 ['education', 'students', 'skills']
Topic 150 ['students', 'courses', 'classes']
Topic 151 ['people', 'good', 'time']
Topic 152 ['greek', 'ancient', 'western']
Topic 153 ['island', 'rhode', 'providence']
Topic 154 ['students', 'program', 'faculty']
Topic 155 ['points', 'scored', 'rebounds']
Topic 156 ['election', 'vote', 'state']
Topic 157 ['science', 'research', 'engineering']
Topic 158 ['dakota', 'north', 'indian']
Topic 159 ['journal', 'contact', 'publication']
Topic 160 ['faculty', 'members', 'committee']
Topic 161 ['students', 'course', 'courses']
Topic 162 ['competition', 'place', 'students']
Topic 163 ['virginia', 'richmond', 'wiki__virginia_commonwealth_university__ilzbls']
Topic 164 ['christmas', 'holiday', 'free']
Topic 165 ['music', 'songs', 'song']
Topic 166 ['political', 'economic', 'people']
Topic 167 ['trump', 'court', 'president']
Topic 168 ['world', 'life', 'human']
Topic 169 ['funeral', 'home', 'died']
Topic 170 ['scholars', 'research', 'academic']
Topic 171 ['1', '0', '2']
Topic 172 ['education', 'university', 'universities']
Topic 173 ['wiki__january__isbfz', 'free', 'www']
Topic 174 ['soviet', 'russia', 'russian']
Topic 175 ['muslim', 'islam', 'islamic']
Topic 176 ['hopkins', 'baltimore', 'johns']
Topic 177 ['shakespeare', 'play', 'plays']
Topic 178 ['million', 'foundation', 'fund']
Topic 179 ['jewish', 'pages', 'jews']
Topic 180 ['rouge', 'baton', 'elizabeth']
Topic 181 ['los', 'angeles', 'williams']
Topic 182 ['food', 'wine', 'dinner']
Topic 183 ['event', 'events', 'year']
Topic 184 ['dinner', 'club', 'tickets']
Topic 185 ['johnson', 'miller', 'kennedy']
Topic 186 ['college', 'school', 'graduate']
Topic 187 ['america', 'new', 'people']
Topic 188 ['city', 'neighborhood', 'street']
Topic 189 ['saturday', 'sunday', 'friday']
Topic 190 ['auditions', 'information', 'idaho']
Topic 191 ['data', 'information', 'records']
Topic 192 ['money', 'million', 'year']
Topic 193 ['tax', 'income', 'taxes']
Topic 194 ['davis', 'vermont', 'disability']
Topic 195 ['arts', 'cultural', 'art']
Topic 196 ['business', 'company', 'companies']
Topic 197 ['new', 'economic', 'world']
Topic 198 ['mary', 'john', 'ann']
Topic 199 ['water', 'garden', 'land']
Topic 200 ['students', 'class', 'course']
Topic 201 ['new', 'group', 'organization']
Topic 202 ['movie', 'pg', 'story']
Topic 203 ['art', 'museum', 'collection']
Topic 204 ['museum', 'exhibit', 'history']
Topic 205 ['georgia', 'atlanta', 'harris']
Topic 206 ['house', 'architecture', 'design']
Topic 207 ['music', 'jazz', 'band']
Topic 208 ['tickets', 'center', 'org']
Topic 209 ['students', 'career', 'experience']
Topic 210 ['info', 'price', 'www']
Topic 211 ['president', 'bush', 'wiki__bill_clinton__eesb']
Topic 212 ['program', 'community', 'programs']
Topic 213 ['literature', 'literary', 'english']
Topic 214 ['philosophy', 'questions', 'question']
Topic 215 ['education', 'schools', 'school']
Topic 216 ['zergnet', 'left', 'margin']
Topic 217 ['different', 'brain', 'work']
Topic 218 ['city', 'new', 'school']
Topic 219 ['space', 'wiki__nasa__iafzbsba', 'earth']
Topic 220 ['television', 'radio', 'public']
Topic 221 ['president', 'white', 'house']
Topic 222 ['political', 'american', 'culture']
Topic 223 ['community', 'volunteers', 'project']
Topic 224 ['life', 'people', 'good']
Topic 225 ['connecticut', 'hartford', 'new']
Topic 226 ['new_jersey', 'wiki__new_jersey__zibfa', 'newark']
Topic 227 ['black', 'african', 'white']
Topic 228 ['music', 'concert', 'orchestra']
Topic 229 ['open', '&', 'subc']
Topic 230 ['law', 'bill', 'rights']
Topic 231 ['letter', 'wrote', 'told']
Topic 232 ['history', 'culture', 'people']
Topic 233 ['credit', 'financial', 'bank']
Topic 234 ['free', 'rockville', 'montgomery']
Topic 235 ['students', 'speech', 'university']
Topic 236 ['people', 'know', 'things']
Topic 237 ['reed', 'robertson', 'gun']
Topic 238 ['university', 'dartmouth', 'president']
Topic 239 ['$%', 'united', 'iraq']
Topic 240 ['film', 'films', 'documentary']
Topic 241 ['team', 'game', 'football']
Topic 242 ['budget', 'cuts', 'million']
Topic 243 ['news', 'view', 'sample']
Topic 244 ['red', 'white', 'blue']
Topic 245 ['military', 'army', 'veterans']
Topic 246 ['information', 'free', 'library']
Topic 247 ['major', 'texas', 'university']
Topic 248 ['book', 'writers', 'author']
Topic 249 ['university', 'brown', 'wiki__carnegie_mellon_university__faoqe']
Topic 250 ['photo', 'allen', 'kelly']
